Interval, Interval (UTC),Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Moisture.avg,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Moisture.min,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Moisture.max,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Temperature.avg,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Temperature.min,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Temperature.max
08/22/2021 05:30:30 AM,08/22/2021 04:30:30 AM,,,,,,
08/22/2021 05:31:00 AM,08/22/2021 04:31:00 AM,,,,,,
08/22/2021 05:31:30 AM,08/22/2021 04:31:30 AM,,,,,,
08/22/2021 05:32:00 AM,08/22/2021 04:32:00 AM,,,,,,
08/22/2021 05:32:30 AM,08/22/2021 04:32:30 AM,,,,,,
08/22/2021 05:33:00 AM,08/22/2021 04:33:00 AM,,,,,,
08/22/2021 05:33:30 AM,08/22/2021 04:33:30 AM,,,,,,
08/22/2021 05:34:00 AM,08/22/2021 04:34:00 AM,,,,,,
08/22/2021 05:34:30 AM,08/22/2021 04:34:30 AM,,,,,,
08/22/2021 05:35:00 AM,08/22/2021 04:35:00 AM,,,,,,
08/22/2021 05:35:30 AM,08/22/2021 04:35:30 AM,,,,,,
08/22/2021 05:36:00 AM,08/22/2021 04:36:00 AM,,,,,,
08/22/2021 05:36:30 AM,08/22/2021 04:36:30 AM,,,,,,
08/22/2021 05:37:00 AM,08/22/2021 04:37:00 AM,,,,,,
08/22/2021 05:37:30 AM,08/22/2021 04:37:30 AM,,,,,,
08/22/2021 05:38:00 AM,08/22/2021 04:38:00 AM,,,,,,
08/22/2021 05:38:30 AM,08/22/2021 04:38:30 AM,,,,,,
08/22/2021 05:39:00 AM,08/22/2021 04:39:00 AM,,,,,,
08/22/2021 05:39:30 AM,08/22/2021 04:39:30 AM,,,,,,
08/22/2021 05:40:00 AM,08/22/2021 04:40:00 AM,,,,,,
08/22/2021 05:40:30 AM,08/22/2021 04:40:30 AM,,,,,,
08/22/2021 05:41:00 AM,08/22/2021 04:41:00 AM,,,,,,
08/22/2021 05:41:30 AM,08/22/2021 04:41:30 AM,,,,,,
08/22/2021 05:42:00 AM,08/22/2021 04:42:00 AM,,,,,,
08/22/2021 05:42:30 AM,08/22/2021 04:42:30 AM,,,,,,
08/22/2021 05:43:00 AM,08/22/2021 04:43:00 AM,,,,,,
08/22/2021 05:43:30 AM,08/22/2021 04:43:30 AM,,,,,,
08/22/2021 05:44:00 AM,08/22/2021 04:44:00 AM,,,,,,
08/22/2021 05:44:30 AM,08/22/2021 04:44:30 AM,,,,,,
08/22/2021 05:45:00 AM,08/22/2021 04:45:00 AM,,,,,,
08/22/2021 05:45:30 AM,08/22/2021 04:45:30 AM,,,,,,
08/22/2021 05:46:00 AM,08/22/2021 04:46:00 AM,,,,,,
08/22/2021 05:46:30 AM,08/22/2021 04:46:30 AM,,,,,,
08/22/2021 05:47:00 AM,08/22/2021 04:47:00 AM,,,,,,
08/22/2021 05:47:30 AM,08/22/2021 04:47:30 AM,,,,,,
08/22/2021 05:48:00 AM,08/22/2021 04:48:00 AM,,,,,,
08/22/2021 05:48:30 AM,08/22/2021 04:48:30 AM,,,,,,
08/22/2021 05:49:00 AM,08/22/2021 04:49:00 AM,343.27442827442826,341,350,25.977130977130976,25,27
08/22/2021 05:49:30 AM,08/22/2021 04:49:30 AM,,,,,,
08/22/2021 05:50:00 AM,08/22/2021 04:50:00 AM,,,,,,
08/22/2021 05:50:30 AM,08/22/2021 04:50:30 AM,,,,,,
08/22/2021 05:51:00 AM,08/22/2021 04:51:00 AM,,,,,,
08/22/2021 05:51:30 AM,08/22/2021 04:51:30 AM,,,,,,
08/22/2021 05:52:00 AM,08/22/2021 04:52:00 AM,,,,,,
08/22/2021 05:52:30 AM,08/22/2021 04:52:30 AM,,,,,,
08/22/2021 05:53:00 AM,08/22/2021 04:53:00 AM,,,,,,
08/22/2021 05:53:30 AM,08/22/2021 04:53:30 AM,,,,,,
08/22/2021 05:54:00 AM,08/22/2021 04:54:00 AM,,,,,,
08/22/2021 05:54:30 AM,08/22/2021 04:54:30 AM,,,,,,
08/22/2021 05:55:00 AM,08/22/2021 04:55:00 AM,,,,,,
08/22/2021 05:55:30 AM,08/22/2021 04:55:30 AM,,,,,,
08/22/2021 05:56:00 AM,08/22/2021 04:56:00 AM,,,,,,
08/22/2021 05:56:30 AM,08/22/2021 04:56:30 AM,,,,,,
08/22/2021 05:57:00 AM,08/22/2021 04:57:00 AM,,,,,,
08/22/2021 05:57:30 AM,08/22/2021 04:57:30 AM,,,,,,
08/22/2021 05:58:00 AM,08/22/2021 04:58:00 AM,,,,,,
08/22/2021 05:58:30 AM,08/22/2021 04:58:30 AM,,,,,,
08/22/2021 05:59:00 AM,08/22/2021 04:59:00 AM,,,,,,
08/22/2021 05:59:30 AM,08/22/2021 04:59:30 AM,,,,,,
08/22/2021 06:00:00 AM,08/22/2021 05:00:00 AM,,,,,,
08/22/2021 06:00:30 AM,08/22/2021 05:00:30 AM,,,,,,
08/22/2021 06:01:00 AM,08/22/2021 05:01:00 AM,,,,,,
08/22/2021 06:01:30 AM,08/22/2021 05:01:30 AM,,,,,,
08/22/2021 06:02:00 AM,08/22/2021 05:02:00 AM,,,,,,
08/22/2021 06:02:30 AM,08/22/2021 05:02:30 AM,,,,,,
08/22/2021 06:03:00 AM,08/22/2021 05:03:00 AM,,,,,,
08/22/2021 06:03:30 AM,08/22/2021 05:03:30 AM,,,,,,
08/22/2021 06:04:00 AM,08/22/2021 05:04:00 AM,,,,,,
08/22/2021 06:04:30 AM,08/22/2021 05:04:30 AM,,,,,,
08/22/2021 06:05:00 AM,08/22/2021 05:05:00 AM,,,,,,
08/22/2021 06:05:30 AM,08/22/2021 05:05:30 AM,,,,,,
08/22/2021 06:06:00 AM,08/22/2021 05:06:00 AM,,,,,,
08/22/2021 06:06:30 AM,08/22/2021 05:06:30 AM,,,,,,
08/22/2021 06:07:00 AM,08/22/2021 05:07:00 AM,,,,,,
08/22/2021 06:07:30 AM,08/22/2021 05:07:30 AM,,,,,,
08/22/2021 06:08:00 AM,08/22/2021 05:08:00 AM,349.25,349,350,26,26,26
08/22/2021 06:08:30 AM,08/22/2021 05:08:30 AM,,,,,,
08/22/2021 06:09:00 AM,08/22/2021 05:09:00 AM,349.75,349,351,26,26,26
08/22/2021 06:09:30 AM,08/22/2021 05:09:30 AM,,,,,,
08/22/2021 06:10:00 AM,08/22/2021 05:10:00 AM,349.75,349,350,26,26,26
08/22/2021 06:10:30 AM,08/22/2021 05:10:30 AM,,,,,,
08/22/2021 06:11:00 AM,08/22/2021 05:11:00 AM,349.2,348,351,26,26,26
08/22/2021 06:11:30 AM,08/22/2021 05:11:30 AM,,,,,,
08/22/2021 06:12:00 AM,08/22/2021 05:12:00 AM,349.75,349,350,26,26,26
08/22/2021 06:12:30 AM,08/22/2021 05:12:30 AM,,,,,,
08/22/2021 06:13:00 AM,08/22/2021 05:13:00 AM,349,348,350,26,26,26
08/22/2021 06:13:30 AM,08/22/2021 05:13:30 AM,,,,,,
08/22/2021 06:14:00 AM,08/22/2021 05:14:00 AM,,,,,,
08/22/2021 06:14:30 AM,08/22/2021 05:14:30 AM,,,,,,
08/22/2021 06:15:00 AM,08/22/2021 05:15:00 AM,,,,,,
08/22/2021 06:15:30 AM,08/22/2021 05:15:30 AM,,,,,,
08/22/2021 06:16:00 AM,08/22/2021 05:16:00 AM,,,,,,
08/22/2021 06:16:30 AM,08/22/2021 05:16:30 AM,,,,,,
08/22/2021 06:17:00 AM,08/22/2021 05:17:00 AM,,,,,,
08/22/2021 06:17:30 AM,08/22/2021 05:17:30 AM,,,,,,
08/22/2021 06:18:00 AM,08/22/2021 05:18:00 AM,,,,,,
08/22/2021 06:18:30 AM,08/22/2021 05:18:30 AM,,,,,,
08/22/2021 06:19:00 AM,08/22/2021 05:19:00 AM,,,,,,
08/22/2021 06:19:30 AM,08/22/2021 05:19:30 AM,,,,,,
08/22/2021 06:20:00 AM,08/22/2021 05:20:00 AM,,,,,,
08/22/2021 06:20:30 AM,08/22/2021 05:20:30 AM,,,,,,
08/22/2021 06:21:00 AM,08/22/2021 05:21:00 AM,,,,,,
08/22/2021 06:21:30 AM,08/22/2021 05:21:30 AM,,,,,,
08/22/2021 06:22:00 AM,08/22/2021 05:22:00 AM,,,,,,
08/22/2021 06:22:30 AM,08/22/2021 05:22:30 AM,,,,,,
08/22/2021 06:23:00 AM,08/22/2021 05:23:00 AM,348.4166666666667,343,350,26.053030303030305,26,27
08/22/2021 06:23:30 AM,08/22/2021 05:23:30 AM,,,,,,
08/22/2021 06:24:00 AM,08/22/2021 05:24:00 AM,,,,,,
08/22/2021 06:24:30 AM,08/22/2021 05:24:30 AM,,,,,,
08/22/2021 06:25:00 AM,08/22/2021 05:25:00 AM,,,,,,
08/22/2021 06:25:30 AM,08/22/2021 05:25:30 AM,,,,,,
08/22/2021 06:26:00 AM,08/22/2021 05:26:00 AM,,,,,,
08/22/2021 06:26:30 AM,08/22/2021 05:26:30 AM,,,,,,
08/22/2021 06:27:00 AM,08/22/2021 05:27:00 AM,,,,,,
08/22/2021 06:27:30 AM,08/22/2021 05:27:30 AM,,,,,,
08/22/2021 06:28:00 AM,08/22/2021 05:28:00 AM,,,,,,
08/22/2021 06:28:30 AM,08/22/2021 05:28:30 AM,,,,,,
08/22/2021 06:29:00 AM,08/22/2021 05:29:00 AM,,,,,,
08/22/2021 06:29:30 AM,08/22/2021 05:29:30 AM,,,,,,
08/22/2021 06:30:00 AM,08/22/2021 05:30:00 AM,,,,,,
08/22/2021 06:30:30 AM,08/22/2021 05:30:30 AM,,,,,,
08/22/2021 06:31:00 AM,08/22/2021 05:31:00 AM,,,,,,
08/22/2021 06:31:30 AM,08/22/2021 05:31:30 AM,,,,,,
08/22/2021 06:32:00 AM,08/22/2021 05:32:00 AM,,,,,,
08/22/2021 06:32:30 AM,08/22/2021 05:32:30 AM,,,,,,
08/22/2021 06:33:00 AM,08/22/2021 05:33:00 AM,,,,,,
08/22/2021 06:33:30 AM,08/22/2021 05:33:30 AM,,,,,,
08/22/2021 06:34:00 AM,08/22/2021 05:34:00 AM,,,,,,
08/22/2021 06:34:30 AM,08/22/2021 05:34:30 AM,,,,,,
08/22/2021 06:35:00 AM,08/22/2021 05:35:00 AM,351.53333333333336,351,353,26.066666666666666,26,27
08/22/2021 06:35:30 AM,08/22/2021 05:35:30 AM,,,,,,
08/22/2021 06:36:00 AM,08/22/2021 05:36:00 AM,351.35714285714283,350,353,26.017857142857142,26,27
08/22/2021 06:36:30 AM,08/22/2021 05:36:30 AM,,,,,,
08/22/2021 06:37:00 AM,08/22/2021 05:37:00 AM,351.48214285714283,350,352,26.035714285714285,26,27
08/22/2021 06:37:30 AM,08/22/2021 05:37:30 AM,,,,,,
